Scenario ID;ThreatID;VulnID
S1;M3;V27
S1;M13;V38
S2;M15;V32
S2;M25;V32
S3;M18;V1
S4;;
S5;M15;V32
S5;M25;V32
S5;M25;V33
S6;M16;V12
S6;M16;V26
S6;M16;V28
S7;M16;V26
S7;M16;V28
S8;;
S9;M1;V8
S9;M5;V9
S9;M6;V10
S9;M7;V11
S9;M21;V12
S9;M27;V13
S9;M28;V14
S10;M15;V32
S10;M25;V32
S10;M25;V33
S10;M1;V8
S10;M5;V9
S10;M6;V9
S10;M7;V9
S10;M28;V9
S11;M1;V8
S11;M5;V8
S11;M6;V8
S11;M7;V8
S11;M21;V8
S11;M27;V8
S11;M28;V8
S12;;
S13;M1;V8
S13;M5;V9
S13;M6;V9
S13;M7;V9
S13;M26;V7
S13;M26;V14
S13;M26;V17
S13;M26;V21
S13;M26;V23
S13;M26;V25
S13;M28;V9
S14;M26;V7
S14;M26;V14
S14;M26;V17
S14;M26;V21
S14;M26;V23
S14;M26;V25
S15;;
S16;M1;V8
S16;M1;V19
S16;M1;V22
S16;M4;V3
S16;M4;V4
S16;M4;V7
S16;M4;V23
S16;M4;V21
S16;M5;V3
S16;M5;V4
S16;M5;V7
S16;M5;V8
S16;M5;V9
S16;M5;V14
S16;M5;V23
S16;M6;V3
S16;M6;V4
S16;M6;V7
S16;M6;V8
S16;M6;V9
S16;M6;V14
S16;M6;V23
S16;M7;V3
S16;M7;V4
S16;M7;V7
S16;M7;V8
S16;M7;V9
S16;M7;V14
S16;M7;V23
S16;M10;V3
S16;M10;V4
S16;M10;V7
S16;M10;V20
S16;M10;V23
S16;M10;V36
S16;M11;V3
S16;M11;V4
S16;M11;V7
S16;M11;V20
S16;M11;V23
S16;M11;V36
S16;M14;V6
S16;M14;V10
S16;M14;V11
S16;M14;V14
S16;M17;V10
S16;M17;V14
S16;M20;V7
S16;M20;V14
S16;M20;V23
S16;M21;V8
S16;M21;V14
S16;M21;V25
S16;M22;V2
S16;M22;V3
S16;M22;V5
S16;M22;V7
S16;M23;V2
S16;M23;V3
S16;M23;V5
S16;M23;V7
S16;M25;V14
S16;M26;V4
S16;M26;V7
S16;M26;V14
S16;M26;V21
S16;M26;V23
S16;M26;V25
S16;M27;V2
S16;M27;V3
S16;M27;V5
S16;M27;V7
S16;M27;V8
S16;M27;V23
S16;M28;V3
S16;M28;V4
S16;M28;V7
S16;M28;V8
S16;M28;V9
S16;M28;V14
S16;M28;V23
S17;;
S18;M1;V8
S18;M1;V19
S18;M1;V22
S18;M4;V3
S18;M4;V4
S18;M4;V7
S18;M4;V23
S18;M4;V21
S18;M5;V3
S18;M5;V4
S18;M5;V7
S18;M5;V8
S18;M5;V9
S18;M5;V14
S18;M5;V23
S18;M6;V3
S18;M6;V4
S18;M6;V7
S18;M6;V8
S18;M6;V9
S18;M6;V14
S18;M6;V23
S18;M7;V3
S18;M7;V4
S18;M7;V7
S18;M7;V8
S18;M7;V9
S18;M7;V14
S18;M7;V23
S18;M10;V3
S18;M10;V4
S18;M10;V7
S18;M10;V20
S18;M10;V23
S18;M10;V36
S18;M11;V3
S18;M11;V4
S18;M11;V7
S18;M11;V20
S18;M11;V23
S18;M11;V36
S18;M14;V6
S18;M14;V10
S18;M14;V11
S18;M14;V14
S18;M17;V10
S18;M17;V14
S18;M20;V7
S18;M20;V14
S18;M20;V23
S18;M21;V8
S18;M21;V14
S18;M21;V25
S18;M22;V2
S18;M22;V3
S18;M22;V5
S18;M22;V7
S18;M23;V2
S18;M23;V3
S18;M23;V5
S18;M23;V7
S18;M25;V14
S18;M26;V4
S18;M26;V7
S18;M26;V14
S18;M26;V21
S18;M26;V23
S18;M26;V25
S18;M27;V2
S18;M27;V3
S18;M27;V5
S18;M27;V7
S18;M27;V8
S18;M27;V23
S18;M28;V3
S18;M28;V4
S18;M28;V7
S18;M28;V8
S18;M28;V9
S18;M28;V14
S18;M28;V23
S19;M3;V12
S19;M8;V12
S19;M13;V12
S19;M16;V12
S19;M25;V13
S20;M3;V12
S20;M8;V12
S20;M13;V12
S20;M16;V12
S21;;
S22;M3;V12
S22;M4;V4
S22;M5;V4
S22;M5;V16
S22;M6;V4
S22;M6;V16
S22;M7;V4
S22;M7;V16
S22;M8;V12
S22;M9;V15
S22;M10;V4
S22;M11;V4
S22;M12;V16
S22;M13;V12
S22;M14;V10
S22;M14;V15
S22;M14;V16
S22;M16;V12
S22;M17;V10
S22;M17;V16
S22;M21;V15
S22;M21;V16
S22;M25;V13
S22;M26;V4
S22;M26;V15
S22;M28;V4
S22;M28;V16
S23;M3;V12
S23;M4;V4
S23;M5;V4
S23;M5;V16
S23;M6;V4
S23;M6;V16
S23;M7;V4
S23;M7;V16
S23;M8;V12
S23;M9;V15
S23;M10;V4
S23;M11;V4
S23;M12;V16
S23;M13;V12
S23;M14;V10
S23;M14;V15
S23;M14;V16
S23;M16;V12
S23;M17;V10
S23;M17;V16
S23;M21;V15
S23;M21;V16
S23;M25;V13
S23;M26;V4
S23;M26;V15
S23;M28;V4
S23;M28;V16
S24;;
S25;M5;V16
S25;M6;V16
S25;M7;V16
S25;M9;V15
S25;M12;V16
S25;M14;V16
S25;M14;V15
S25;M17;V16
S25;M21;V16
S25;M21;V15
S25;M26;V15
S25;M28;V16
S26;M5;V16
S26;M6;V16
S26;M7;V16
S26;M9;V15
S26;M12;V16
S26;M14;V16
S26;M14;V15
S26;M17;V16
S26;M21;V16
S26;M21;V15
S26;M26;V15
S26;M28;V16
S27;;
S28;M4;V21
S28;M26;V21
S29;M4;V21
S29;M26;V21
S30;;
S31;M1;V19
S31;M1;V22
S31;M4;V3
S31;M4;V7
S31;M4;V23
S31;M5;V3
S31;M5;V7
S31;M5;V23
S31;M6;V3
S31;M6;V7
S31;M6;V23
S31;M7;V3
S31;M7;V7
S31;M7;V23
S31;M10;V3
S31;M10;V7
S31;M10;V23
S31;M11;V3
S31;M11;V7
S31;M11;V23
S31;M19;V19
S31;M20;V7
S31;M20;V23
S31;M22;V2
S31;M22;V3
S31;M22;V7
S31;M23;V2
S31;M23;V3
S31;M23;V7
S31;M26;V7
S31;M26;V23
S31;M27;V2
S31;M27;V3
S31;M27;V7
S31;M27;V23
S31;M28;V3
S31;M28;V7
S31;M28;V23
S32;M1;V19
S32;M1;V22
S32;M4;V3
S32;M4;V7
S32;M4;V23
S32;M5;V3
S32;M5;V7
S32;M5;V23
S32;M6;V3
S32;M6;V7
S32;M6;V23
S32;M7;V3
S32;M7;V7
S32;M7;V23
S32;M10;V3
S32;M10;V7
S32;M10;V23
S32;M11;V3
S32;M11;V7
S32;M11;V23
S32;M19;V19
S32;M20;V7
S32;M20;V23
S32;M22;V2
S32;M22;V3
S32;M22;V7
S32;M23;V2
S32;M23;V3
S32;M23;V7
S32;M26;V7
S32;M26;V23
S32;M27;V2
S32;M27;V3
S32;M27;V7
S32;M27;V23
S32;M28;V3
S32;M28;V7
S32;M28;V23
S33;;
S34;M5;V14
S34;M6;V14
S34;M7;V14
S34;M14;V14
S34;M15;V32
S34;M17;V14
S34;M20;V14
S34;M21;V14
S34;M25;V32
S34;M25;V33
S34;M25;V14
S34;M26;V14
S34;M28;V14
S35;M5;V14
S35;M6;V14
S35;M7;V14
S35;M14;V14
S35;M15;V32
S35;M17;V14
S35;M20;V14
S35;M21;V14
S35;M25;V32
S35;M25;V33
S35;M25;V14
S35;M26;V14
S35;M28;V14
S36;;
S37;M5;V14
S37;M6;V14
S37;M7;V14
S37;M14;V14
S37;M17;V14
S37;M20;V14
S37;M21;V14
S37;M21;V25
S37;M25;V14
S37;M26;V25
S37;M26;V14
S37;M28;V14
S38;M5;V14
S38;M6;V14
S38;M7;V14
S38;M14;V14
S38;M17;V14
S38;M20;V14
S38;M21;V14
S38;M21;V25
S38;M25;V14
S38;M26;V25
S38;M26;V14
S38;M28;V14
S39;;
S40;M3;V12
S40;M8;V12
S40;M13;V12
S40;M16;V12
S40;M25;V13
S41;M3;V12
S41;M8;V12
S41;M13;V12
S41;M16;V12
S41;M25;V13
S42;;
S43;M5;V14
S43;M6;V14
S43;M7;V14
S43;M12;V18
S43;M14;V14
S43;M17;V14
S43;M20;V14
S43;M21;V14
S43;M21;V17
S43;M25;V14
