ScenarioID;Scenario;ThreatID;ThreatName;ThreatDescription;VulnID;VulnerabilityName;VulnDescription
S1;The processing center is located in the basement. A sewer system runs under the building. The walls of the room that houses the processing center are not reinforced.;T3;Flooding;Flooding of the rooms where the systems and/or storage media are located;V26;Inadequate fire protection;Lack of a specific fire protection system to safeguard the system and the data contained within it (e.g. fireproof safes and automatic shutdown system)
S1;The processing center is located in the basement. A sewer system runs under the building. The walls of the room that houses the processing center are not reinforced.;T3;Flooding;Flooding of the rooms where the systems and/or storage media are located;V27;Inadequate flood protection;Lack of a specific anti-flooding system to safeguard the system and the data contained within it (e.g. watertight bulkheads)
S2;Confidential documents are stored in an archive constantly protected by armed guards, with three levels of biometric protection. The room that houses the archive is reinforced and burglar-proof.;T15;Physical theft of media;Theft of storage media and devices containing data;V31;Hardware devices that are not physically locked;Lack of security systems that prevent the removal of peripherals (hard drives, cards, tapes)
S3;The connection between the data center and the offices is made of fiber optics.;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S4;The connection between the CED and the offices is made of optical fiber. The cable is laid inside protected and dedicated channels. Communication on the channel is protected by ciphers approved at the highest classification level compared to that of the transmitted data.;nan;nan;nan;V29;Unstable power supply;Lack of adequate automatic control systems for stabilization and continuity on UPS systems
S5;The system is installed on the third floor of a building without any special security controls;T3;Flooding;Flooding of the rooms where the systems and/or storage media are located;V27;Inadequate flood protection;Lack of a specific anti-flooding system to safeguard the system and the data contained within it (e.g. watertight bulkheads)
S5;The system is installed on the third floor of a building without any special security controls;T16;Fire;Fire in the premises where the systems and/or storage media are located;V27;Inadequate flood protection;Lack of a specific anti-flooding system to safeguard the system and the data contained within it (e.g. watertight bulkheads)
S5;The system is installed on the third floor of a building without any special security controls;T16;Fire;Fire in the premises where the systems and/or storage media are located;V28;Inadequate high temperature protection;Inadequate temperature monitoring and cooling of electronic devices
S5;The system is installed on the third floor of a building without any special security controls;T16;Fire;Fire in the premises where the systems and/or storage media are located;V30;Electromagnetic emanations;Equipment not adequately protected from compromising electromagnetic emissions.
S5;The system is installed on the third floor of a building without any special security controls;T16;Fire;Fire in the premises where the systems and/or storage media are located;V31;Hardware devices that are not physically locked;Lack of security systems that prevent the removal of peripherals (hard drives, cards, tapes)
S6;There are no fire protection systems installed on the site;T16;Fire;Fire in the premises where the systems and/or storage media are located;V27;Inadequate flood protection;Lack of a specific anti-flooding system to safeguard the system and the data contained within it (e.g. watertight bulkheads)
S7;A fire protection system with smoke detector and temperature control system is installed on the site;T16;Fire;Fire in the premises where the systems and/or storage media are located;V28;Inadequate high temperature protection;Inadequate temperature monitoring and cooling of electronic devices
S8;The site is equipped with a fire protection system based on Halon 1301 gas with smoke detector and a temperature control system based on a redundant air conditioner with humidity sensors. In addition, the system is connected to the nearest Fire Brigade station which is automatically contacted in the event of an alarm.;T16;Fire;Fire in the premises where the systems and/or storage media are located;V28;Inadequate high temperature protection;Inadequate temperature monitoring and cooling of electronic devices
S9;A password is required to access the system;nan;nan;nan;V31;Hardware devices that are not physically locked;Lack of security systems that prevent the removal of peripherals (hard drives, cards, tapes)
S10;Anyone can access the system;T27;Violation of login procedures;Using software applications designed specifically, or through repeated attempts, to allow an unauthorized individual to gain access to the system;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S10;Anyone can access the system;T27;Violation of login procedures;Using software applications designed specifically, or through repeated attempts, to allow an unauthorized individual to gain access to the system;V31;Hardware devices that are not physically locked;Lack of security systems that prevent the removal of peripherals (hard drives, cards, tapes)
S11;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The password is shared among members of the same office;T21;Masking;Subject who provides a false identity (fis.log.) to the system in order to gain access;V32;Inadequate access control to the CED area;The control of staff and visitors is not rigorous
S12;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The access credentials are nominative and it is forbidden to reveal them to third parties;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S12;Only those who have a password can access the system. The password must meet complexity requirements, is stored in a historical database and must be changed once every 90 days. The access credentials are nominative and it is forbidden to reveal them to third parties;nan;nan;nan;V31;Hardware devices that are not physically locked;Lack of security systems that prevent the removal of peripherals (hard drives, cards, tapes)
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;T23;Unconditional access procedure;program, used by system administrators/network administrators to recover a system from a software or hardware failure and regain access, that bypasses all system protections;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S13;The system is installed in the highest-ranked operating mode, and all users can access all documents, regardless of their security clearance, role and need-to-know.;T23;Unconditional access procedure;program, used by system administrators/network administrators to recover a system from a software or hardware failure and regain access, that bypasses all system protections;V29;Unstable power supply;Lack of adequate automatic control systems for stabilization and continuity on UPS systems
S14;The system is installed in the highest-ranking operating mode, and only authorized users can access documents.;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S14;The system is installed in the highest-ranking operating mode, and only authorized users can access documents.;nan;nan;nan;V14;Unprotected system clock;The system clock is not protected from unauthorized access or manipulation.
S15;The system is installed in the highest-ranking operating mode, and only authorized users can access documents based on their security clearance level and need-to-know.;nan;nan;nan;V1;Communication channels not adequately protected;Channels (carrying classified/sensitive corporate data) not subject to security procedures (encryption devices) or not physically inaccessible (e.g. connections with accessible data cables, to which interception tools can be connected)
S15;The system is installed in the highest-ranking operating mode, and only authorized users can access documents based on their security clearance level and need-to-know.;nan;nan;nan;V2;Insufficient physical protection of the CED area;The CED area is not physically protected from unauthorized access (e.g., inadequate security measures, open doors, lack of monitoring systems)
S15;The system is installed in the highest-ranking operating mode, and only authorized users can access documents based on their security clearance level and need-to-know.;nan;nan;nan;V3;Lack of access control for critical functions;Critical system functions are not protected from unauthorized access (e.g., no physical or electronic locks on critical equipment, lack of authentication mechanisms)
S15;The system is installed in the highest-ranking operating mode, and only authorized users can access documents based on their security clearance level and need-to-know.;nan;nan;nan;V4;System not hardened against network attacks;The system is vulnerable to common network attack vectors (e.g., weak firewalls, unpatched software, open ports)
S16;No system logs are recorded;nan;nan;nan;V32;Inadequate access control to the CED area;The control of staff and visitors is not rigorous
