Scenario ID;User;Assistant - Extended;Assistant - Short;Assistant - Details;Assistant - Risk ID;Assistant - Risk description;Assistant - Vulnerability ID;Assistant - Vulnerability description;Assistant - Risk occurrence type
The described scenario presents at least one security threat.;Yes;The system is vulnerable to flooding;M3;Flooding;V27;Inadequate flood protection;RS1;The processing center is located in the basement. A sewer system runs under the building. The walls of the room that houses the processing center are not reinforced.;eal
S1;The processing center is located in the basement. A sewer system runs under the building. The walls of the room that houses the processing center are not reinforced.;The described scenario presents at least one security threat.;Yes;The system is vulnerable to explosions or collapses;M13;Destruction of the CED area;V38;System not protected from explosions;Real
S2;Confidential documents are stored in an archive constantly protected by armed guards, with three levels of biometric protection. The room that houses the archive is reinforced and burglar-proof.;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on the physical characteristics of the entrances are missing;M15;Physical theft of media;V32;Inadequate access control to the CED area;Potential
S2;Confidential documents are stored in an archive constantly protected by armed guards, with three levels of biometric protection. The room that houses the archive is reinforced and burglar-proof.;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on the physical characteristics of the entrances are missing;M25;Sabotage;V32;Inadequate access control to the CED area;Potential
S3;The connection between the data center and the offices is made of fiber optics.;The scenario is not sufficiently characterized to perform a preliminary analysis.;More;Details on data line protection are missing;M18;Interception and espionage;V1;Communication channels not adequately protected;Potential
S4;The connection between the CED and the offices is made of optical fiber. The cable is laid inside protected and dedicated channels. Communication on the channel is protected by ciphers approved at the highest classification level compared to that of the transmitted data.;The described scenario presents no known security threats.;No;;;;;;
S5;The system is installed on the third floor of a building without any special security controls;The described scenario presents at least one security threat.;Yes;The system is vulnerable to data theft/theft;M15;Physical theft of media;V32;Inadequate access control to the CED area;Real
S5;The system is installed on the third floor of a building without any special security controls;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized physical access;M25;Sabotage;V32;Inadequate access control to the CED area;Real
S5;The system is installed on the third floor of a building without any special security controls;The described scenario presents at least one security threat.;Yes;The system is vulnerable to unauthorized physical access;M25;Sabotage;V33;Lack of access control to the CED area;Real
S6;There are no fire protection systems installed on the site;The described scenario presents at least one security threat.;Yes;The system is vulnerable to fires;M16;Fire;V12;Untested emergency procedures;Real
S6;There are no fire protection systems installed on the site;The described scenario presents at least one security threat.;Yes;The system is vulnerable to fires;M16;Fire;V26;Inadequate fire protection;Real
S6;There are no fire protection systems installed on the site;The described scenario presents at least one security threat.;Yes;The system is vulnerable to fires;M16;Fire;V28;Inadequate high temperature protection;Real
