ScenarioID;ThreatID;VulnID
S1;T3;V26
S1;T3;V27
S2;T15;V31
S3;nan;V1
S4;nan;V29
S5;T3;V27
S5;T16;V27
S5;T16;V28
S5;T16;V30
S5;T16;V31
S6;T16;V27
S7;T16;V28
S8;T16;V28
S9;nan;V31
S10;T27;V1
S10;T27;V31
S11;T21;V32
S12;nan;V1
S12;nan;V31
S13;T23;V1
S13;T23;V29
S14;nan;V1
S14;nan;V14
S15;nan;V1
S15;nan;V2
S15;nan;V3
S15;nan;V4
S16;nan;V32
S16;nan;V33
S17;T17;V1
S18;nan;V1
S18;nan;V2
S18;nan;V3
S18;nan;V4
S18;nan;V5
S18;nan;V6
S18;nan;V7
S18;nan;V8
S18;nan;V9
S18;nan;V10
S19;T3;V27
S19;T3;V27
S20;nan;V1
S21;nan;V12
S22;T23;V1
S22;T23;V26
S22;T23;V31
S23;nan;V1
S23;nan;V2
S23;nan;V3
S23;nan;V4
S23;nan;V5
S23;nan;V6
S23;nan;V7
S23;nan;V8
S23;nan;V9
S23;nan;V10
S24;nan;V1
S24;nan;V2
S24;nan;V3
S24;nan;V4
S24;nan;V5
S24;nan;V6
S24;nan;V7
S24;nan;V8
S24;nan;V9
S24;nan;V10
S24;nan;V11
S24;nan;V12
S24;nan;V13
S24;nan;V14
S24;nan;V15
S25;T17;V24
S26;nan;V1
S26;nan;V31
S27;nan;V1
S27;nan;V2
S27;nan;V3
S27;nan;V4
S27;nan;V5
S27;nan;V6
S27;nan;V7
S27;nan;V8
S27;nan;V9
S27;nan;V10
S27;nan;V11
S27;nan;V12
S27;nan;V13
S27;nan;V14
S27;nan;V15
S27;nan;V16
S27;nan;V17
S27;nan;V18
S27;nan;V19
S27;nan;V20
S28;T12;V30
S28;T12;V31
S29;T16;V26
S30;T12;V36
S31;T26;V1
S32;nan;V1
S33;nan;V32
S33;nan;V33
S34;T27;V32
S34;T27;V33
S35;nan;V2
S35;nan;V3
S36;T17;V32
S37;T1;V32
S37;T1;V33
S38;nan;V1
S39;nan;
S40;T12;V1
S40;T12;V31
S40;T12;V7
S41;T2;V14
S41;T2;V15
S42;T26;V1
S42;T26;V12
S42;T26;V13
S42;T26;V14
S43;T15;V31
S44;T15;V31
S45;T12;V31
S45;T12;V31
S46;T8;V34
S47;T8;V34
S48;T8;V34
S49;T18;V30
S50;T18;V36
S50;T18;V1
S51;T18;V30
S52;T3;V27
S53;T25;V28
S54;T9;V28
S54;T9;V30
S54;T9;V31
S55;nan;V26
S55;nan;V27
S55;nan;V28
S55;nan;V29
S56;T27;V32
S56;T27;V33
S57;T17;V32
S58;T12;V31
S59;nan;V24
S60;nan;V32
S60;nan;V33
S61;nan;V32
S61;nan;V33
S62;T12;V31
S63;T2;V29
S64;T5;V1
S64;T5;V32
S65;nan;V1
S65;nan;V31
S66;nan;V1
S66;nan;V2
S66;nan;V3
S66;nan;V4
S66;nan;V5
S66;nan;V6
S67;nan;V1
S67;nan;V2
S67;nan;V3
S67;nan;V4
S67;nan;V5
S68;T2;V29
S69;nan;V1
S69;nan;V2
S69;nan;V3
S69;nan;V4
S69;nan;V5
S69;nan;V6
S69;nan;V7
S69;nan;V8
S69;nan;V9
S69;nan;V10
S70;T5;V5
S70;T5;V1
S71;nan;V1
S71;nan;V2
S71;nan;V3
S71;nan;V4
S71;nan;V5
S71;nan;V6
S71;nan;V7
S71;nan;V8
S71;nan;V9
S71;nan;V10
S72;T5;V1
S72;T5;V31
S73;T6;V1
S73;T6;V3
S73;T6;V5
S73;T6;V7
S73;T6;V9
S73;T6;V11
S74;T2;V29
S75;T2;
S76;T12;V36
S77;T12;V31
S78;T14;V26
S78;T14;V27
S78;T14;V28
S78;T14;V30
S78;T14;V31
S79;nan;V1
S79;nan;V2
S79;nan;V3
S79;nan;V4
S79;nan;V5
S79;nan;V6
S79;nan;V7
S79;nan;V8
S79;nan;V9
S79;nan;V10
S80;T26;V13
S80;T26;V28
S81;T2;V29
S82;nan;V32
S82;nan;V33
S83;nan;V26
S83;nan;V27
S83;nan;V28
S83;nan;V29
S84;nan;V26
S84;nan;V27
S84;nan;V28
S84;nan;V30
S85;nan;V28
S86;nan;V1
S87;T12;V30
S88;nan;V25
S89;T9;V31
S90;T26;V31
S91;nan;V31
S92;T12;V30
S92;T12;V36
S93;T2;V10
S93;T2;V29
S93;T2;V29
S94;nan;V1
S95;nan;V1
S95;nan;V2
S95;nan;V3
S95;nan;V4
S95;nan;V5
S95;nan;V6
S95;nan;V7
S95;nan;V8
S96;T12;V36
S97;T2;V10
S97;T2;V29
S98;T15;V27
S98;T15;V31
S99;T2;V30
S100;T26;V10
S100;T26;V21
S100;T26;V30
S101;nan;V12
S102;T7;V1
S102;T7;V30
S102;T7;V1
S103;nan;V1
S104;T27;V1
S105;T17;V29
S106;nan;
S107;nan;V1
S108;nan;V32
S108;nan;V33
S109;T17;V32
S110;T12;V36
S111;nan;V1
S111;nan;V28
S112;T16;V27
S113;nan;V28
S114;nan;V1
S115;nan;V1
S115;nan;V2
S115;nan;V3
S115;nan;V4
S115;nan;V5
S115;nan;V6
S115;nan;V7
S115;nan;V8
S115;nan;V9
S116;T15;V28
S116;T15;V31
S117;nan;V1
S117;nan;V2
S117;nan;V3
S117;nan;V4
S117;nan;V5
S117;nan;V6
S117;nan;V7
S117;nan;V8
S117;nan;V9
S117;nan;V10
S117;nan;V11
S117;nan;V12
S117;nan;V13
S117;nan;V14
S117;nan;V15
S117;nan;V16
S117;nan;V17
S117;nan;V18
S117;nan;V19
S117;nan;V20
S118;T16;V26
S119;nan;V1
S119;nan;V3
S119;nan;V6
S119;nan;V9
S119;nan;V12
S119;nan;V15
S119;nan;V20
S119;nan;V23
S119;nan;V26
S120;T16;V28
S120;T16;V34
S121;nan;V12
S121;nan;V13
S122;nan;V25
S123;nan;
S124;nan;V31
S125;T16;V28
S126;nan;V32
S126;nan;V33
S127;nan;V31
S128;T3;V27
S128;T3;V27
S128;T3;V27
S129;nan;V1
S129;nan;V26
S129;nan;V27
S129;nan;V28
S129;nan;V30
S130;T27;V1
S130;T27;V29
S131;nan;V1
S131;nan;V31
S132;T15;V31
S133;nan;V13
S134;T27;V32
S134;T27;V33
S135;nan;V1
S135;nan;V2
S135;nan;V34
S136;nan;V31
S137;nan;V31
S138;nan;V31
S139;T18;V30
S140;T2;V29
S141;nan;V29
S142;nan;V2
S142;nan;V30
S143;nan;V1
S143;nan;V2
S143;nan;V3
S143;nan;V4
S143;nan;V5
S143;nan;V6
S143;nan;V7
S143;nan;V8
S143;nan;V9
S143;nan;V10
S143;nan;V11
S143;nan;V12
S143;nan;V13
S143;nan;V14
S143;nan;V15
S143;nan;V16
S143;nan;V17
S143;nan;V18
S143;nan;V19
S143;nan;V20
S144;nan;V1
S144;nan;V2
S144;nan;V3
S144;nan;V4
S144;nan;V5
S144;nan;V6
S144;nan;V7
S144;nan;V8
S145;nan;V2
S146;nan;V1
S146;nan;V2
S146;nan;V3
S147;nan;V1
S147;nan;V31
S148;T2;V30
S149;nan;V31
S150;nan;V36
S151;T20;V1
S151;T20;V29
S152;T12;V30
S152;T12;V31
S153;nan;V15
S154;T9;V31
S155;nan;V1
S155;nan;V2
S155;nan;V3
S155;nan;V4
S155;nan;V5
S155;nan;V6
S155;nan;V7
S155;nan;V8
S155;nan;V9
S155;nan;V10
S155;nan;V11
S155;nan;V12
S155;nan;V13
S155;nan;V14
S155;nan;V15
S155;nan;V16
S155;nan;V17
S155;nan;V18
S155;nan;V19
S155;nan;V20
S155;nan;V1
S156;nan;V1
S156;nan;V31
S157;nan;V1
S157;nan;V2
S157;nan;V3
S157;nan;V4
S157;nan;V5
S157;nan;V6
S157;nan;V7
S157;nan;V8
S157;nan;V9
S157;nan;V10
S157;nan;V11
S157;nan;V12
S157;nan;V13
S157;nan;V14
S157;nan;V15
S157;nan;V16
S157;nan;V17
S157;nan;V18
S157;nan;V19
S157;nan;V20
S158;T27;V1
S159;nan;V1
S159;nan;V2
S159;nan;V3
S159;nan;V4
S159;nan;V5
S159;nan;V6
S159;nan;V7
S159;nan;V8
S159;nan;V9
S159;nan;V10
S160;T27;V1
S160;T27;V29
S161;nan;V1
S161;nan;V31
S162;T7;V31
S163;nan;V1
S163;nan;V29
S164;T21;V36
S165;nan;V1
S166;T27;V1
S166;T27;V31
S167;T27;V32
S167;T27;V33
S168;T2;V34
S169;T2;V35
S170;nan;V1
S170;nan;V32
S170;nan;V33
S171;nan;V1
S172;nan;V24
S173;nan;V31
S174;T25;V31
S174;T25;V31
S175;T2;V30
S175;T2;V29
S176;T2;V1
S177;T2;V10
S178;T2;V17
S179;nan;V36
S180;nan;V12
S181;T2;V30
S182;nan;V1
S182;nan;V2
S182;nan;V3
S182;nan;V4
S182;nan;V5
S182;nan;V6
S182;nan;V7
S182;nan;V8
S182;nan;V9
S182;nan;V10
S182;nan;V11
S182;nan;V12
S182;nan;V13
S182;nan;V14
S182;nan;V15
S182;nan;V16
S182;nan;V17
S182;nan;V18
S182;nan;V19
S182;nan;V20
S183;nan;V1
S183;nan;V2
S183;nan;V3
S183;nan;V4
S183;nan;V5
S183;nan;V6
S183;nan;V7
S183;nan;V8
S183;nan;V9
S183;nan;V10
S183;nan;V11
S183;nan;V12
S183;nan;V13
S183;nan;V14
S183;nan;V15
S183;nan;V16
S183;nan;V17
S183;nan;V18
S183;nan;V19
S183;nan;V20
S184;nan;V1
S184;nan;V32
S185;T26;V31
S186;T2;V34
S186;T2;V35
S187;T18;V30
S188;nan;V1
S189;nan;
S190;T2;V19
S190;T2;V29
S191;T2;V30
S191;T2;V29
S192;nan;V14
S193;T2;V16
